# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240801-20240804
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		55	49	8	112
/Japanese/IDEsquareB.html	2024080108	1	0	0	1
/Japanese/IDEsquareB.html	2024080109	13	6	0	19
/Japanese/IDEsquareB.html	2024080110	2	1	0	3
/Japanese/IDEsquareB.html	2024080111	1	3	0	4
/Japanese/IDEsquareB.html	2024080112	2	0	1	3
/Japanese/IDEsquareB.html	2024080113	8	5	0	13
/Japanese/IDEsquareB.html	2024080114	3	4	2	9
/Japanese/IDEsquareB.html	2024080115	3	3	0	6
/Japanese/IDEsquareB.html	2024080116	0	4	0	4
/Japanese/IDEsquareB.html	2024080119	1	3	0	4
/Japanese/IDEsquareB.html	2024080120	1	1	0	2
/Japanese/IDEsquareB.html	2024080206	1	1	0	2
/Japanese/IDEsquareB.html	2024080209	1	1	1	3
/Japanese/IDEsquareB.html	2024080210	1	1	0	2
/Japanese/IDEsquareB.html	2024080213	2	1	1	4
/Japanese/IDEsquareB.html	2024080215	1	1	0	2
/Japanese/IDEsquareB.html	2024080216	0	1	0	1
/Japanese/IDEsquareB.html	2024080217	3	2	1	6
/Japanese/IDEsquareB.html	2024080219	2	2	0	4
/Japanese/IDEsquareB.html	2024080221	1	0	0	1
/Japanese/IDEsquareB.html	2024080222	1	1	0	2
/Japanese/IDEsquareB.html	2024080309	1	2	0	3
/Japanese/IDEsquareB.html	2024080310	1	1	1	3
/Japanese/IDEsquareB.html	2024080318	1	1	1	3
/Japanese/IDEsquareB.html	2024080322	1	1	0	2
/Japanese/IDEsquareB.html	2024080400	1	1	0	2
/Japanese/IDEsquareB.html	2024080414	1	1	0	2
/Japanese/IDEsquareB.html	2024080415	1	1	0	2

