# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240812-20240818
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		47	43	6	96
/Japanese/IDEsquareB.html	2024081210	1	1	1	3
/Japanese/IDEsquareB.html	2024081213	1	1	1	3
/Japanese/IDEsquareB.html	2024081214	1	1	0	2
/Japanese/IDEsquareB.html	2024081309	1	2	0	3
/Japanese/IDEsquareB.html	2024081311	0	1	0	1
/Japanese/IDEsquareB.html	2024081312	2	0	0	2
/Japanese/IDEsquareB.html	2024081316	2	2	1	5
/Japanese/IDEsquareB.html	2024081409	1	2	0	3
/Japanese/IDEsquareB.html	2024081410	1	1	0	2
/Japanese/IDEsquareB.html	2024081411	1	1	1	3
/Japanese/IDEsquareB.html	2024081413	2	1	0	3
/Japanese/IDEsquareB.html	2024081414	6	4	0	10
/Japanese/IDEsquareB.html	2024081415	2	2	0	4
/Japanese/IDEsquareB.html	2024081416	2	2	1	5
/Japanese/IDEsquareB.html	2024081417	2	2	1	5
/Japanese/IDEsquareB.html	2024081421	1	1	0	2
/Japanese/IDEsquareB.html	2024081510	1	1	0	2
/Japanese/IDEsquareB.html	2024081512	1	1	0	2
/Japanese/IDEsquareB.html	2024081513	1	1	0	2
/Japanese/IDEsquareB.html	2024081515	2	2	0	4
/Japanese/IDEsquareB.html	2024081516	1	2	0	3
/Japanese/IDEsquareB.html	2024081517	2	2	0	4
/Japanese/IDEsquareB.html	2024081610	2	2	0	4
/Japanese/IDEsquareB.html	2024081611	2	0	0	2
/Japanese/IDEsquareB.html	2024081613	0	1	0	1
/Japanese/IDEsquareB.html	2024081615	1	1	0	2
/Japanese/IDEsquareB.html	2024081617	2	1	0	3
/Japanese/IDEsquareB.html	2024081621	1	1	0	2
/Japanese/IDEsquareB.html	2024081710	2	1	0	3
/Japanese/IDEsquareB.html	2024081723	1	1	0	2
/Japanese/IDEsquareB.html	2024081811	2	2	0	4

