# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240923-20240929
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		51	50	5	106
/Japanese/IDEsquareB.html	2024092312	1	1	0	2
/Japanese/IDEsquareB.html	2024092314	1	0	0	1
/Japanese/IDEsquareB.html	2024092321	0	1	0	1
/Japanese/IDEsquareB.html	2024092410	2	2	0	4
/Japanese/IDEsquareB.html	2024092411	3	2	1	6
/Japanese/IDEsquareB.html	2024092412	1	1	0	2
/Japanese/IDEsquareB.html	2024092413	10	10	1	21
/Japanese/IDEsquareB.html	2024092414	2	2	0	4
/Japanese/IDEsquareB.html	2024092415	2	2	1	5
/Japanese/IDEsquareB.html	2024092416	4	2	0	6
/Japanese/IDEsquareB.html	2024092418	0	2	0	2
/Japanese/IDEsquareB.html	2024092422	1	1	0	2
/Japanese/IDEsquareB.html	2024092509	1	1	0	2
/Japanese/IDEsquareB.html	2024092512	2	2	0	4
/Japanese/IDEsquareB.html	2024092513	1	1	0	2
/Japanese/IDEsquareB.html	2024092515	1	1	0	2
/Japanese/IDEsquareB.html	2024092516	1	1	0	2
/Japanese/IDEsquareB.html	2024092517	2	2	0	4
/Japanese/IDEsquareB.html	2024092518	2	2	0	4
/Japanese/IDEsquareB.html	2024092522	1	2	0	3
/Japanese/IDEsquareB.html	2024092608	1	0	0	1
/Japanese/IDEsquareB.html	2024092609	0	2	0	2
/Japanese/IDEsquareB.html	2024092610	2	2	0	4
/Japanese/IDEsquareB.html	2024092611	1	1	1	3
/Japanese/IDEsquareB.html	2024092614	1	1	0	2
/Japanese/IDEsquareB.html	2024092615	1	1	0	2
/Japanese/IDEsquareB.html	2024092618	1	1	0	2
/Japanese/IDEsquareB.html	2024092619	1	1	0	2
/Japanese/IDEsquareB.html	2024092622	1	0	1	2
/Japanese/IDEsquareB.html	2024092710	1	1	0	2
/Japanese/IDEsquareB.html	2024092712	1	1	0	2
/Japanese/IDEsquareB.html	2024092714	1	0	0	1
/Japanese/IDEsquareB.html	2024092914	1	1	0	2

