# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップA-自由形式 1
# 20240819-20240825
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		57	54	12	123
/Japanese/IDEsquareA.html	2024081901	1	1	0	2
/Japanese/IDEsquareA.html	2024081910	0	1	1	2
/Japanese/IDEsquareA.html	2024081913	0	1	1	2
/Japanese/IDEsquareA.html	2024081915	1	0	0	1
/Japanese/IDEsquareA.html	2024081916	1	1	0	2
/Japanese/IDEsquareA.html	2024082008	1	1	0	2
/Japanese/IDEsquareA.html	2024082009	0	1	0	1
/Japanese/IDEsquareA.html	2024082010	4	4	1	9
/Japanese/IDEsquareA.html	2024082014	1	2	0	3
/Japanese/IDEsquareA.html	2024082016	4	4	1	9
/Japanese/IDEsquareA.html	2024082017	1	1	1	3
/Japanese/IDEsquareA.html	2024082018	0	2	0	2
/Japanese/IDEsquareA.html	2024082019	2	0	0	2
/Japanese/IDEsquareA.html	2024082021	2	2	0	4
/Japanese/IDEsquareA.html	2024082101	1	1	1	3
/Japanese/IDEsquareA.html	2024082110	1	1	0	2
/Japanese/IDEsquareA.html	2024082116	2	2	0	4
/Japanese/IDEsquareA.html	2024082121	1	1	0	2
/Japanese/IDEsquareA.html	2024082210	1	1	1	3
/Japanese/IDEsquareA.html	2024082213	7	5	1	13
/Japanese/IDEsquareA.html	2024082214	2	2	0	4
/Japanese/IDEsquareA.html	2024082215	0	1	0	1
/Japanese/IDEsquareA.html	2024082216	4	5	1	10
/Japanese/IDEsquareA.html	2024082217	3	2	0	5
/Japanese/IDEsquareA.html	2024082218	1	0	1	2
/Japanese/IDEsquareA.html	2024082223	1	1	0	2
/Japanese/IDEsquareA.html	2024082309	1	1	0	2
/Japanese/IDEsquareA.html	2024082313	2	1	1	4
/Japanese/IDEsquareA.html	2024082314	1	1	0	2
/Japanese/IDEsquareA.html	2024082316	1	1	0	2
/Japanese/IDEsquareA.html	2024082317	2	2	0	4
/Japanese/IDEsquareA.html	2024082420	0	1	0	1
/Japanese/IDEsquareA.html	2024082500	4	2	0	6
/Japanese/IDEsquareA.html	2024082509	1	0	0	1
/Japanese/IDEsquareA.html	2024082512	1	1	0	2
/Japanese/IDEsquareA.html	2024082513	2	1	1	4

